tag,eps,n,fail_frac,dominant_rank,dominant_frac,occupied_bins,bins_ge_10pct,rank_entropy_bits,median_oracle_rank,mean_oracle_rank,q25_oracle_rank,q75_oracle_rank
layer12_expert19,oracle_rank_eps0.05,2385,0.0,480,0.4851153039832285,3,2,1.2177041959601893,480.0,493.63186582809226,480.0,512.0
layer12_expert26,oracle_rank_eps0.05,1781,0.0,512,0.678270634475014,3,2,0.9255672528787953,512.0,501.6327905670971,480.0,512.0
layer19_expert14,oracle_rank_eps0.05,2488,0.0,512,0.6197749196141479,4,2,1.2032504770740542,512.0,497.86495176848877,480.0,512.0
layer19_expert27,oracle_rank_eps0.05,1608,0.0,512,0.4129353233830846,5,3,1.6322518283653293,480.0,485.0149253731343,480.0,512.0
layer12_expert19,oracle_rank_eps0.01,2385,0.0,512,1.0,1,1,-1.4428232973175175e-12,512.0,512.0,512.0,512.0
layer12_expert26,oracle_rank_eps0.01,1781,0.0,512,1.0,1,1,-1.4428232973175175e-12,512.0,512.0,512.0,512.0
layer19_expert14,oracle_rank_eps0.01,2488,0.0,512,1.0,1,1,-1.4428232973175175e-12,512.0,512.0,512.0,512.0
layer19_expert27,oracle_rank_eps0.01,1608,0.0,512,0.9912935323383084,2,1,0.07209036293623083,512.0,511.7213930348259,512.0,512.0
layer12_expert19,oracle_rank_eps0.02,2385,0.0,512,0.9987421383647799,2,1,0.013932828116620421,512.0,511.95974842767293,512.0,512.0
layer12_expert26,oracle_rank_eps0.02,1781,0.0,512,0.9994385176866929,2,1,0.0068729712168171505,512.0,511.9820325659742,512.0,512.0
layer19_expert14,oracle_rank_eps0.02,2488,0.0,512,0.9827170418006431,2,1,0.12590050171533665,512.0,511.4469453376206,512.0,512.0
layer19_expert27,oracle_rank_eps0.02,1608,0.0,512,0.8756218905472637,3,2,0.600148806673106,512.0,507.62189054726366,512.0,512.0
layer12_expert19,oracle_rank_eps0.1,2385,0.0,448,0.7283018867924528,5,2,1.1677260541526633,448.0,448.52327044025157,448.0,448.0
layer12_expert26,oracle_rank_eps0.1,1781,0.0,448,0.6378439079169006,4,2,1.0355583872361425,448.0,459.57102751263335,448.0,480.0
layer19_expert14,oracle_rank_eps0.1,2488,0.0,448,0.4312700964630225,5,3,1.6993758835684338,480.0,466.6881028938907,448.0,480.0
layer19_expert27,oracle_rank_eps0.1,1608,0.0,448,0.45149253731343286,7,4,2.0014082469185004,448.0,447.4029850746269,448.0,480.0
