tag,eps,n,fail_frac,dominant_rank,dominant_frac,occupied_bins,bins_ge_10pct,rank_entropy_bits,median_oracle_rank,mean_oracle_rank,q25_oracle_rank,q75_oracle_rank
layer22_expert18,oracle_rank_eps0.02,2489,0.0,768,1.0,1,1,-1.4428232973175175e-12,768.0,768.0,768.0,768.0
layer22_expert30,oracle_rank_eps0.02,671,0.0,768,1.0,1,1,-1.4428232973175175e-12,768.0,768.0,768.0,768.0
layer38_expert03,oracle_rank_eps0.02,2552,0.0,768,1.0,1,1,-1.4428232973175175e-12,768.0,768.0,768.0,768.0
layer38_expert55,oracle_rank_eps0.02,3535,0.0,768,0.9954738330975955,3,1,0.04328920952717207,768.0,766.8231966053748,768.0,768.0
layer22_expert18,oracle_rank_eps0.05,2489,0.0,768,1.0,1,1,-1.4428232973175175e-12,768.0,768.0,768.0,768.0
layer22_expert30,oracle_rank_eps0.05,671,0.0,768,1.0,1,1,-1.4428232973175175e-12,768.0,768.0,768.0,768.0
layer38_expert03,oracle_rank_eps0.05,2552,0.0,768,0.9996081504702194,2,1,0.0049999314070048595,768.0,767.9749216300941,768.0,768.0
layer38_expert55,oracle_rank_eps0.05,3535,0.0,768,0.8231966053748232,4,2,0.7064370931396381,768.0,754.6387553041019,768.0,768.0
layer22_expert18,oracle_rank_eps0.1,2489,0.0,768,0.7440739252711932,3,2,0.8248580258811642,768.0,751.5950180795501,704.0,768.0
layer22_expert30,oracle_rank_eps0.1,671,0.0,768,0.9254843517138599,2,1,0.38255357163149317,768.0,763.2309985096871,768.0,768.0
layer38_expert03,oracle_rank_eps0.1,2552,0.0,768,0.8781347962382445,3,2,0.5514490597251007,768.0,760.0501567398119,768.0,768.0
layer38_expert55,oracle_rank_eps0.1,3535,0.0,704,0.4896746817538897,7,2,1.3204564059185382,640.0,667.2837340876945,640.0,704.0
