seed,layer,noise_floor,cross_lang_mean,ratio,pass,within_en_rho,en_ko_rho,en_zh_rho
0,4,0.054369732829344104,0.3184529396109733,5.857173155706585,True,0.9495648953350487,0.7043637277252925,0.6795250507275904
0,8,0.060529398470857934,0.22810429137872365,3.7684876628758364,True,0.9630496987010155,0.8522765523682384,0.9180781255368126
0,14,0.06101254699464976,0.23454291194305435,3.844175067197598,True,0.9758602522435367,0.7443785471959664,0.729103369329623
0,22,0.05582698855368644,0.27048001705579083,4.844968787733942,True,0.9820942000778516,0.8724497973576354,0.8148362395749559
0,30,0.06823102631357578,0.2176939910549858,3.190542526130399,True,0.9417999107255269,0.9197900290120292,0.9364195652949432
0,38,0.05994189462391447,0.3435265541317493,5.730992593528995,True,0.9856305262011875,0.508860414903266,0.4959613595185952
1,4,0.05593063802108138,0.3240882229308882,5.794466760932226,True,0.9420123220050176,0.6907746499774721,0.7013633896093875
1,8,0.06627340153988508,0.2317177529478514,3.4963914264819738,True,0.9699137080641549,0.8605247242084891,0.9218088282846765
1,14,0.05796850028403369,0.23825445061310319,4.110067527117409,True,0.9787563772952136,0.7569456378530102,0.7358255170530623
1,22,0.059440071687406,0.26719134646089193,4.4951383616433915,True,0.9797030964192374,0.8682351575534156,0.8382717074245932
1,30,0.08019252963136593,0.2130689691834106,2.656967801899497,True,0.9508809505221829,0.9257787770805487,0.9446626061868891
1,38,0.06527701068042009,0.3467565561321167,5.312077751687344,True,0.9805973753164889,0.5202484619159952,0.4896187629550739
2,4,0.05514139202548314,0.32016229332676893,5.806206219436908,True,0.9703158496372063,0.7065257529219469,0.6948547399921439
2,8,0.06458577754899364,0.22924011087033053,3.549389967418647,True,0.9622766412661736,0.8532225538900557,0.9162326140461334
2,14,0.055507197297718816,0.23716395357133424,4.272670304344135,True,0.9743741046864662,0.7566821603365654,0.7317459395701916
2,22,0.0711901001626181,0.26654517717214776,3.7441326330948264,True,0.9733986163480018,0.8553397209250017,0.8183598166823629
2,30,0.08394409383432198,0.2086558967317825,2.485653096018888,True,0.9465858822756709,0.9129197898789208,0.9465009758825
2,38,0.07037249916434435,0.33954583945279637,4.8249791251528285,True,0.9797471398632632,0.4986601161232694,0.5097700247444515
