layer,condition_a,condition_b,js_divergence,top_k_jaccard
8,en_only,en_only_control,0.21693666620177957,0.5238095238095238
8,en_only,ko_only,0.3082298434537311,0.7297297297297297
8,en_only,zh_only,0.24752611605167005,0.7777777777777778
8,en_only,balanced,0.30338555312489274,0.4883720930232558
8,en_only_control,ko_only,0.3763740858855423,0.4883720930232558
8,en_only_control,zh_only,0.3120089796771017,0.45454545454545453
8,en_only_control,balanced,0.2616367673764668,0.45454545454545453
8,ko_only,zh_only,0.28014954661497476,0.7297297297297297
8,ko_only,balanced,0.26783051487305676,0.5609756097560976
8,zh_only,balanced,0.29529254242285624,0.45454545454545453
22,en_only,en_only_control,0.1928267838473056,0.7777777777777778
22,en_only,ko_only,0.29029229536795337,0.6410256410256411
22,en_only,zh_only,0.2847073297092053,0.6410256410256411
22,en_only,balanced,0.30925106713537237,0.6410256410256411
22,en_only_control,ko_only,0.33854156455372253,0.5609756097560976
22,en_only_control,zh_only,0.2956755787872375,0.5609756097560976
22,en_only_control,balanced,0.24153710464876915,0.6410256410256411
22,ko_only,zh_only,0.3696555281455005,0.6410256410256411
22,ko_only,balanced,0.2804896968509708,0.6
22,zh_only,balanced,0.29159154471312854,0.6
38,en_only,en_only_control,0.20029308140086027,0.7777777777777778
38,en_only,ko_only,0.409664373399234,0.45454545454545453
38,en_only,zh_only,0.385991729064073,0.45454545454545453
38,en_only,balanced,0.36273649223041393,0.4883720930232558
38,en_only_control,ko_only,0.46670880747236515,0.391304347826087
38,en_only_control,zh_only,0.4169195005443379,0.4222222222222222
38,en_only_control,balanced,0.34649828215218714,0.4883720930232558
38,ko_only,zh_only,0.29438916704154755,0.6842105263157895
38,ko_only,balanced,0.255719117214029,0.7297297297297297
38,zh_only,balanced,0.261419838931913,0.6
