layer,condition_a,condition_b,fisher_spearman_rho,fisher_spearman_p
8,en_only,en_only_control,0.8077504416077902,1.0594191918153158e-30
8,en_only,ko_only,0.8617767622372001,5.975529150307252e-39
8,en_only,zh_only,0.927613369920851,9.947404788123706e-56
8,en_only,balanced,0.7919187975795431,9.076985666932521e-29
8,en_only_control,ko_only,0.7182477836431786,1.3916741005685044e-21
8,en_only_control,zh_only,0.735574105760851,4.6935802677969184e-23
8,en_only_control,balanced,0.838738090066398,4.6249103532732113e-35
8,ko_only,zh_only,0.87478734075964,1.8020701805210314e-41
8,ko_only,balanced,0.7882329976691047,2.420945028959445e-28
8,zh_only,balanced,0.758574665683413,3.379683892762513e-25
22,en_only,en_only_control,0.8912847955148783,4.187718494632443e-45
22,en_only,ko_only,0.8896712723251495,1.0057525860961216e-44
22,en_only,zh_only,0.8581583716177845,2.703740290931427e-38
22,en_only,balanced,0.8115811985413848,3.3906939324981344e-31
22,en_only_control,ko_only,0.8154161384772495,1.0556621840132415e-31
22,en_only_control,zh_only,0.7750700724591194,6.900460669946618e-27
22,en_only_control,balanced,0.8301727917677999,9.071256630125192e-34
22,ko_only,zh_only,0.8505016281303743,5.771166176799651e-37
22,ko_only,balanced,0.8476854573492008,1.7045599372749893e-36
22,zh_only,balanced,0.85821290761574,2.643742848043044e-38
38,en_only,en_only_control,0.9025458041426174,6.12634883386236e-48
38,en_only,ko_only,0.5618799645940384,5.180208733680414e-12
38,en_only,zh_only,0.5720334043470738,1.748498065298017e-12
38,en_only,balanced,0.6785855096501769,1.3550673629049723e-18
38,en_only_control,ko_only,0.4816582471665611,8.619985172255266e-09
38,en_only_control,zh_only,0.48518446290093153,6.468441212553157e-09
38,en_only_control,balanced,0.6780468815472275,1.4768153205401567e-18
38,ko_only,zh_only,0.8630483005692534,3.479928548618809e-39
38,ko_only,balanced,0.8292777298616832,1.2262087935573227e-33
38,zh_only,balanced,0.8109163270985399,4.13970792545303e-31
