layer,condition_a,condition_b,fisher_spearman_rho,fisher_spearman_p
8,en_only,en_only_control,0.6965125621310337,6.940569075195318e-20
8,en_only,ko_only,0.842702922038764,1.0988316034583059e-35
8,en_only,zh_only,0.8630847455954441,3.426143455257018e-39
8,en_only,balanced,0.774228744275084,8.482330307927351e-27
8,en_only_control,ko_only,0.5992757279135809,7.831644210956714e-14
8,en_only_control,zh_only,0.5832514716632204,5.039592476723931e-13
8,en_only_control,balanced,0.8446725482347792,5.3015774671046596e-36
8,ko_only,zh_only,0.862858501688254,3.773710675525746e-39
8,ko_only,balanced,0.7618738814646971,1.5916490221833758e-25
8,zh_only,balanced,0.7419636508122145,1.2564372835665695e-23
22,en_only,en_only_control,0.7654408179883322,6.954533958884882e-26
22,en_only,ko_only,0.8398916697062927,3.0567051918764e-35
22,en_only,zh_only,0.8224063941427325,1.1715712089845085e-32
22,en_only,balanced,0.7994360590826052,1.1527574184681486e-29
22,en_only_control,ko_only,0.6820099862472375,7.807870646588267e-19
22,en_only_control,zh_only,0.6688430517626611,6.248595340935806e-18
22,en_only_control,balanced,0.886856773998577,4.490301018444528e-44
22,ko_only,zh_only,0.7790922876778738,2.5405241802981197e-27
22,ko_only,balanced,0.8180885303732147,4.6064209216581306e-32
22,zh_only,balanced,0.7528721606503834,1.2076650440287727e-24
38,en_only,en_only_control,0.8345660726647914,2.0133354052812144e-34
38,en_only,ko_only,0.5565660422359574,9.013521929731007e-12
38,en_only,zh_only,0.5644426164171513,3.9519272428688365e-12
38,en_only,balanced,0.6568551587019781,3.7937393686672e-17
38,en_only_control,ko_only,0.44507059295723106,1.4113995727317758e-07
38,en_only_control,zh_only,0.42648829549881356,5.175151426129e-07
38,en_only_control,balanced,0.7135060295813701,3.36785107393845e-21
38,ko_only,zh_only,0.83028768400798,8.7258933504999e-34
38,ko_only,balanced,0.7012552876440773,3.0476796147222294e-20
38,zh_only,balanced,0.7029783665765736,2.250963153061939e-20
